,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
0,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,5282,POINT (145.3919982909999931 -6.0816898345900006)
1,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,POINT (145.7890014650000126 -5.2070798873899999)
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,POINT (144.2960052490234375 -5.8267898559570312)
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,POINT (146.7259770000000003 -6.5698030000000003)
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.22000122070312,146,POINT (147.2200012207031250 -9.4433803558349592)
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,POINT (143.6690063480000106 -3.5838301181799999)
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,POINT (-45.4259986877000017 61.1604995727999992)
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,POINT (-51.6781005858999976 64.1909027100000031)
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,POINT (-50.7116031647000014 67.0122218992000001)
9,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,POINT (-68.7032012938999941 76.5311965941999972)
10,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,6,POINT (-18.0727005004882812 65.6600036621093750)
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,76,POINT (-14.4013996124267578 65.2833023071289062)
12,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,POINT (-15.2271999999999998 64.2956010000000049)
13,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,POINT (-17.4260009999999994 65.9523010000000056)
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.135299682617188,8,POINT (-23.1352996826171875 66.0580978393554688)
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,POINT (-22.6056003570560016 63.9850006103520030)
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,POINT (-23.9649999999999999 65.5558010000000024)
17,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,POINT (-21.9405994415000016 64.1299972534000062)
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,POINT (-18.9166999999999987 66.1333010000000030)
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437,326,POINT (-20.2789001464843714 63.4243011474609375)
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,POINT (-84.5093994140625000 46.4850006103515625)
23,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.083099365200006,108,POINT (-56.0830993652000060 51.3918991088999988)
